Trace
Swept SA
A.10.52,N9000A
13012000,-86.8165801091978
13051000,-86.7375595529588
13090000,-87.0038880822881
13129000,-87.7570990347179
13168000,-86.5422045582873
13207000,-86.2701926088151
13246000,-85.8025982239483
13285000,-86.3128153898128
13324000,-86.6910987808955
13363000,-86.2626364860023
13402000,-86.9453419333749
13441000,-86.3151228687452
13480000,-86.4220077639577
13519000,-86.0879292082762
13558000,-86.563896265412
13597000,-85.6742600327197
13636000,-85.9920061743623
13675000,-85.4474667711089
13714000,-86.351439255789
13753000,-86.2791709328766
13792000,-86.8527502254782
13831000,-86.9348032371397
13870000,-86.5747290494629
13909000,-86.5304183333864
13948000,-86.6388940580302
13987000,-86.4670893032403
14026000,-86.5301856019293
14065000,-86.2048727610385
14104000,-86.9588124774734
14143000,-86.9599953145
14182000,-86.8476020489675
14221000,-86.3279460460122
14260000,-86.3556078691025
14299000,-86.6192040204618
14338000,-86.3026718493882
14377000,-86.3050286675573
14416000,-86.68743807603
14455000,-85.7771334644238
14494000,-85.2051147317741
14533000,-86.1868304957984
14572000,-86.9349346972205
14611000,-87.0140346693399
14650000,-85.8602932214652
14689000,-86.5748893347337
14728000,-86.5446157991206
14767000,-85.7108974721593
14806000,-85.9387075638548
14845000,-86.5430281339711
14884000,-87.2604552723666
14923000,-86.7947059576475
14962000,-86.2622366202701
15001000,-86.3586085181171
15040000,-86.8812109161028
15079000,-86.7282721823056
15118000,-86.2901413391282
15157000,-85.8414559207518
15196000,-86.1491387803097
15235000,-86.6440780917138
15274000,-86.1781467685749
15313000,-85.4338113030972
15352000,-86.3300647375092
15391000,-86.4179372425922
15430000,-87.0904124853003
15469000,-86.4518829532081
15508000,-87.1984942955881
15547000,-86.7291979930663
15586000,-86.7882573258697
15625000,-86.926018837192
15664000,-86.1179533701959
15703000,-86.9482005392436
15742000,-86.2635169972713
15781000,-86.5685677226667
15820000,-86.4095199740007
15859000,-85.9399026839307
15898000,-86.888788936642
15937000,-87.75816647609
15976000,-87.3702420648424
16015000,-87.1907053785246
16054000,-86.5487318146789
16093000,-86.3792781280983
16132000,-85.9788501473384
16171000,-86.0285038707436
16210000,-86.762915294353
16249000,-86.0690459840122
16288000,-85.9113853356687
16327000,-86.0719121023302
16366000,-86.5808494194586
16405000,-86.6137095162151
16444000,-86.599186349932
16483000,-86.5116802645103
16522000,-86.4461732270133
16561000,-86.7262818664301
16600000,-86.7709357990682
16639000,-86.3773266359844
16678000,-86.1604008636537
16717000,-86.4777030415514
16756000,-86.5297435050789
16795000,-86.7289703109466
16834000,-87.1096235235164
16873000,-86.0516402799724
16912000,-86.3069968531905
16951000,-86.1933726210078
16990000,-86.2012325361543
17029000,-86.8385490522221
17068000,-86.6516163223325
17107000,-85.6452892523488
17146000,-85.4517514137707
17185000,-86.8095040323292
17224000,-86.6474977743805
17263000,-86.3383721797991
17302000,-86.7545822301169
17341000,-86.5115755477357
17380000,-85.6981775036767
17419000,-85.294445266404
17458000,-85.9497016522261
17497000,-85.8784427118939
17536000,-85.8953227061432
17575000,-86.0256374760459
17614000,-85.9437510413193
17653000,-86.4907252119095
17692000,-86.6034686208574
17731000,-85.7746475457962
17770000,-86.6674933289363
17809000,-87.003460569736
17848000,-87.2599778784034
17887000,-85.5652002100571
17926000,-86.2161663180439
17965000,-85.5273284837934
18004000,-85.5411723261106
18043000,-85.5825699700068
18082000,-86.159698168399
18121000,-85.355809956334
18160000,-86.3081248868319
18199000,-86.1400118637493
18238000,-86.0847158207557
18277000,-86.9379343403443
18316000,-86.2819289026976
18355000,-86.6821444711058
18394000,-85.6476749853961
18433000,-86.1388330182566
18472000,-86.5027978936407
18511000,-86.0903993118726
18550000,-85.8465444207891
18589000,-86.1390743483359
18628000,-85.515896220983
18667000,-85.4264643536306
18706000,-85.4640544944017
18745000,-85.8324780139273
18784000,-86.5236554338183
18823000,-86.2724212220296
18862000,-85.7183939963291
18901000,-85.8930751427403
