Trace
Swept SA
A.10.52,N9000A
952411000,-76.4023540135381
955490000,-76.6229896628048
958569000,-75.9821685401178
961648000,-76.927145542701
964727000,-75.6399760233497
967806000,-76.0921434724978
970885000,-75.8684914776041
973964000,-75.2311318100625
977043000,-75.7128186493408
980122000,-77.1213861832671
983201000,-75.704086322743
986280000,-77.2809794745973
989359000,-76.1362574776053
992438000,-76.5818419864672
995517000,-76.6933384909436
998596000,-76.5121283057219
1001675000,-75.8160324607954
1004754000,-76.1976363907405
1007833000,-75.932774025114
1010912000,-75.7931638827532
1013991000,-75.9418769800295
1017070000,-76.3873329969443
1020149000,-76.2042666186638
1023228000,-75.9872512463806
1026307000,-76.5031117855045
1029386000,-75.6615046286094
1032465000,-75.9613753340085
1035544000,-77.203431372926
1038623000,-75.9321458734178
1041702000,-76.2765056386832
1044781000,-75.8205423868048
1047860000,-76.3652197222995
1050939000,-76.1523503713685
1054018000,-75.7946968774005
1057097000,-75.9927497374792
1060176000,-75.7590979081233
1063255000,-76.4583258263321
1066334000,-76.8939547805229
1069413000,-77.0707920755876
1072492000,-76.7994844554499
1075571000,-76.9931840325847
1078650000,-75.6200288220752
1081729000,-76.2051914660018
1084808000,-76.7416486100024
1087887000,-76.5509731744697
1090966000,-77.3827912876959
1094045000,-76.6880280165898
1097124000,-76.625055426651
1100203000,-75.9847052993936
1103282000,-76.4451943329941
1106361000,-76.0947189250054
1109440000,-76.0060638528182
1112519000,-76.0296825057604
1115598000,-76.2634277445183
1118677000,-75.245089521383
1121756000,-75.8432972757768
1124835000,-76.7044146265869
1127914000,-75.7229619839352
1130993000,-75.7275486753352
1134072000,-75.9219766125516
1137151000,-76.3583713284207
1140230000,-75.9731615062837
1143309000,-76.5470960366898
1146388000,-75.7482058346469
1149467000,-76.6726222562855
1152546000,-75.3957787803227
1155625000,-76.2845056020822
1158704000,-76.4182233055389
1161783000,-75.7653014170347
1164862000,-76.7136147356975
1167941000,-76.1613754914499
1171020000,-75.8799322565894
1174099000,-75.3344067981276
1177178000,-76.6440736287457
1180257000,-76.1254657892505
1183336000,-76.0234464510031
1186415000,-77.253328094389
1189494000,-76.6567725019427
1192573000,-75.7558669949842
1195652000,-76.9579109152589
1198731000,-76.5578445217282
1201810000,-74.7052169559202
1204889000,-75.667788561009
1207968000,-75.2091889607699
1211047000,-75.1634899123258
1214126000,-75.1755050367127
1217205000,-76.5886267816467
1220284000,-74.7738975656994
1223363000,-75.2668393412949
1226442000,-74.7876445686788
1229521000,-75.5895122813877
1232600000,-74.7328055732212
1235679000,-75.9499419212933
1238758000,-75.0601738471807
1241837000,-75.6628534397451
1244916000,-75.0654657509617
1247995000,-75.0857825027257
1251074000,-75.4010707941577
1254153000,-74.5023936061524
1257232000,-75.1495861498625
1260311000,-75.2636388458463
1263390000,-74.9624060779157
1266469000,-74.6776765528209
1269548000,-75.5400423203565
1272627000,-75.3788288708828
1275706000,-74.4975356978971
1278785000,-74.9759692762146
1281864000,-74.1352869291912
1284943000,-74.5478907305043
1288022000,-74.1451330731868
1291101000,-74.4961008779303
1294180000,-75.1034172601076
1297259000,-75.0043119262038
1300338000,-75.3319554807717
1303417000,-74.6144901447366
1306496000,-74.3907135169907
1309575000,-74.2744702559395
1312654000,-75.0566568662279
1315733000,-74.2496096956896
1318812000,-75.0352328643043
1321891000,-74.5594355147344
1324970000,-74.7265503335566
1328049000,-74.5563467782812
1331128000,-74.2864316600685
1334207000,-75.1244623919235
1337286000,-74.6808210474629
1340365000,-75.0437865642599
1343444000,-74.0323682649675
1346523000,-74.7295471342855
1349602000,-74.9550161570564
1352681000,-73.9412861478789
1355760000,-74.1809847221146
1358839000,-74.1326708459944
1361918000,-74.0706503217867
1364997000,-74.3853599885905
1368076000,-74.5540768726475
1371155000,-73.6675562048796
1374234000,-74.4676248681433
1377313000,-74.098571708638
1380392000,-74.9858430223123
