Trace
Swept SA
A.10.52,N9000A
103718000,-77.6972121394904
104037000,-77.464171436536
104356000,-77.6624119487847
104675000,-77.262851437023
104994000,-77.3590117083662
105313000,-77.6422551010089
105632000,-77.5467200124392
105951000,-77.1599978834878
106270000,-77.218079511194
106589000,-77.9912247006501
106908000,-77.4102130888935
107227000,-77.6367699117508
107546000,-77.7417443270126
107865000,-77.5687705006989
108184000,-76.9404461173024
108503000,-77.7159582681208
108822000,-77.2829670424669
109141000,-78.1907608905759
109460000,-77.39855650644
109779000,-77.9147963628713
110098000,-76.6005036837598
110417000,-78.0029419326109
110736000,-77.8703883580445
111055000,-77.1080370188937
111374000,-76.8936389956195
111693000,-77.0144079529098
112012000,-77.9027479593197
112331000,-77.8138815970473
112650000,-77.1291705972738
112969000,-78.0968457498017
113288000,-78.3190837526367
113607000,-76.6599679665629
113926000,-77.3054625813932
114245000,-77.4431381691287
114564000,-77.3684909741241
114883000,-77.2833436000959
115202000,-77.1130294370071
115521000,-77.9284456932314
115840000,-76.3623723057997
116159000,-77.4681514880191
116478000,-78.119323796557
116797000,-78.0512806875948
117116000,-77.5371890983917
117435000,-77.5262388291538
117754000,-76.4766324856464
118073000,-77.644670253266
118392000,-77.8394425897792
118711000,-77.7472796468996
119030000,-78.2210712699796
119349000,-76.3873153491995
119668000,-77.3279675255578
119987000,-77.3674570582241
120306000,-78.1413006482735
120625000,-77.8898262502717
120944000,-77.9620694710158
121263000,-76.6085696353662
121582000,-77.2135737546959
121901000,-76.9542721869845
122220000,-77.6433045905385
122539000,-76.8476184318494
122858000,-77.6388015779479
123177000,-77.7151120954407
123496000,-77.3093013431308
123815000,-77.5880640707307
124134000,-77.3970196138154
124453000,-77.692182390069
124772000,-78.288359056562
125091000,-77.8656113877717
125410000,-77.5552200992368
125729000,-77.2142585720227
126048000,-77.0928365260638
126367000,-77.506891666387
126686000,-76.5920916617537
127005000,-77.2032336559458
127324000,-76.8829592932631
127643000,-77.978910569751
127962000,-77.2621633467252
128281000,-78.0892070277692
128600000,-76.6333688627282
128919000,-77.5636429506855
129238000,-77.4630936697494
129557000,-76.9629900971905
129876000,-76.7674203115661
130195000,-77.6810448728017
130514000,-77.3277773567518
130833000,-77.1756341675804
131152000,-77.4309571339101
131471000,-77.0567159049422
131790000,-77.8557117524523
132109000,-78.1113003148167
132428000,-78.3678206888834
132747000,-76.9501168618226
133066000,-77.4956428239421
133385000,-77.6390255388783
133704000,-77.9278348294338
134023000,-77.3433242272664
134342000,-77.0086385533884
134661000,-76.7883438264497
134980000,-76.6476608088649
135299000,-76.8406826861904
135618000,-77.0362443983076
135937000,-76.6923400665191
136256000,-77.9130349929448
136575000,-77.3086057244396
136894000,-78.0841868874987
137213000,-77.8856418472384
137532000,-76.8667196008164
137851000,-76.9230913578805
